#vm,#action,#event,#start_time,#finish_time,#updated_at,#result,#took_seconds
'vm1','create','compute__do_build_and_run_instance',7,19,datetime.datetime(2019. 7. 29. 19. 53),'Success',12
'vm1','suspend','compute_suspend_instance',124,125,datetime.datetime(2019. 7. 29. 19. 54. 46),'Success',1
'vm1','resume','compute_resume_instance',244,245,datetime.datetime(2019. 7. 29. 19. 56. 46),'Success',1
'vm1','stop','compute_stop_instance',364,425,datetime.datetime(2019. 7. 29. 19. 59. 46),'Success',61
'vm1','shelve','compute_shelve_instance',484,488,datetime.datetime(2019. 7. 29. 20. 0. 49),'Success',4
#vm,#action,#event,#start_time,#finish_time,#updated_at,#result,#took_seconds
'vm1','create','compute__do_build_and_run_instance',7,16,datetime.datetime(2019. 7. 29. 20. 3. 18),'Success',9
'vm1','suspend','compute_suspend_instance',124,125,datetime.datetime(2019. 7. 29. 20. 5. 7),'Success',1
'vm1','resume','compute_resume_instance',244,245,datetime.datetime(2019. 7. 29. 20. 7. 7),'Success',1
'vm1','stop','compute_stop_instance',364,425,datetime.datetime(2019. 7. 29. 20. 10. 7),'Success',61
'vm1','shelve','compute_shelve_instance',484,488,datetime.datetime(2019. 7. 29. 20. 11. 10),'Success',4
#vm,#action,#event,#start_time,#finish_time,#updated_at,#result,#took_seconds
'vm1','create','compute__do_build_and_run_instance',7,16,datetime.datetime(2019. 7. 29. 20. 13. 39),'Success',9
'vm1','suspend','compute_suspend_instance',124,125,datetime.datetime(2019. 7. 29. 20. 15. 28),'Success',1
'vm1','resume','compute_resume_instance',244,245,datetime.datetime(2019. 7. 29. 20. 17. 29),'Success',1
'vm1','stop','compute_stop_instance',364,425,datetime.datetime(2019. 7. 29. 20. 20. 28),'Success',61
'vm1','shelve','compute_shelve_instance',485,488,datetime.datetime(2019. 7. 29. 20. 21. 31),'Success',3
#vm,#action,#event,#start_time,#finish_time,#updated_at,#result,#took_seconds
'vm1','create','compute__do_build_and_run_instance',6,16,datetime.datetime(2019. 7. 29. 20. 24),'Success',10
'vm1','suspend','compute_suspend_instance',124,125,datetime.datetime(2019. 7. 29. 20. 25. 49),'Success',1
'vm1','resume','compute_resume_instance',244,245,datetime.datetime(2019. 7. 29. 20. 27. 49),'Success',1
'vm1','stop','compute_stop_instance',364,425,datetime.datetime(2019. 7. 29. 20. 30. 49),'Success',61
'vm1','shelve','compute_shelve_instance',484,488,datetime.datetime(2019. 7. 29. 20. 31. 52),'Success',4
#vm,#action,#event,#start_time,#finish_time,#updated_at,#result,#took_seconds
'vm1','create','compute__do_build_and_run_instance',6,15,datetime.datetime(2019. 7. 29. 20. 34. 19),'Success',9
'vm1','suspend','compute_suspend_instance',124,125,datetime.datetime(2019. 7. 29. 20. 36. 9),'Success',1
'vm1','resume','compute_resume_instance',244,245,datetime.datetime(2019. 7. 29. 20. 38. 9),'Success',1
'vm1','stop','compute_stop_instance',364,425,datetime.datetime(2019. 7. 29. 20. 41. 9),'Success',61
'vm1','shelve','compute_shelve_instance',484,488,datetime.datetime(2019. 7. 29. 20. 42. 12),'Success',4
